adp_number,sdp_number,avg_adp_hops,avg_sdp_hops,avg_adp_length,avg_sdp_length,demand,src,dst
1,1,13.00,13,4435.88,4435.88,0,733,3
1,1,12.00,12,4099.35,4099.35,0,731,3
1,1,17.00,17,4778.97,4778.97,0,730,3
1,1,14.00,14,4539.75,4539.75,0,729,3
1,1,8.00,8,1121.87,1121.87,0,712,3
1,1,5.00,5,806.09,806.09,0,711,3
1,1,6.00,6,914.20,914.20,0,710,3
1,1,12.00,12,1439.18,1439.18,0,709,3
1,1,10.00,10,1267.94,1267.94,0,708,3
1,1,13.00,13,1658.06,1658.06,0,707,3
1,1,11.00,11,1316.49,1316.49,0,706,3
1,1,9.00,9,1214.99,1214.99,0,705,3
1,1,14.00,14,1553.89,1553.89,0,704,3
1,1,12.00,12,1483.91,1483.91,0,703,3
1,1,7.00,7,1005.86,1005.86,0,702,3
1,1,18.00,18,10884.89,10884.89,0,7,3
1,1,6.00,6,851.59,851.59,0,644,3
1,1,16.00,16,2398.14,2398.14,0,643,3
1,1,13.00,13,7215.77,7215.77,0,636,3
1,1,15.00,15,7854.86,7854.86,0,635,3
1,1,17.00,17,7962.41,7962.41,0,634,3
1,1,16.00,16,10371.75,10371.75,0,6,3
1,1,23.00,23,5905.35,5905.35,0,565,3
1,1,3.00,3,566.00,566.00,0,5,3
1,1,24.00,24,6505.30,6505.30,0,449,3
1,1,16.00,16,4775.45,4775.45,0,402,3
1,1,3.00,3,211.13,211.13,0,4,3
1,1,16.00,16,2989.42,2989.42,0,360,3
1,1,17.00,17,3074.62,3074.62,0,359,3
1,1,16.00,16,2592.25,2592.25,0,356,3
1,1,15.00,15,8346.96,8346.96,0,355,3
1,1,14.00,14,2781.76,2781.76,0,353,3
1,1,15.00,15,2915.50,2915.50,0,350,3
1,1,2.00,2,310.43,310.43,0,998,2
1,1,18.00,18,12868.14,12868.14,0,936,2
1,1,17.00,17,12657.46,12657.46,0,930,2
1,1,18.00,18,4852.37,4852.37,0,768,2
1,1,16.00,16,4757.82,4757.82,0,748,2
1,1,17.00,17,4792.29,4792.29,0,740,2
1,1,19.00,19,4893.18,4893.18,0,738,2
1,1,14.00,14,2300.78,2300.78,0,643,2
1,1,15.00,15,7865.05,7865.05,0,634,2
1,1,21.00,21,5807.99,5807.99,0,565,2
1,1,22.00,22,6407.94,6407.94,0,449,2
1,1,14.00,14,2892.05,2892.05,0,360,2
1,1,15.00,15,2977.25,2977.25,0,359,2
1,1,14.00,14,2494.89,2494.89,0,356,2
1,1,13.00,13,2818.14,2818.14,0,350,2
1,1,2.00,2,97.36,97.36,0,3,2
1,1,12.00,12,4397.80,4397.80,0,998,138
1,1,10.00,10,9566.56,9566.56,0,936,138
1,1,9.00,9,9355.87,9355.87,0,930,138
1,1,8.00,8,765.00,765.00,0,768,138
1,1,6.00,6,670.46,670.46,0,748,138
1,1,7.00,7,704.92,704.92,0,740,138
1,1,9.00,9,805.82,805.82,0,738,138
1,1,9.00,9,3927.78,3927.78,0,643,138
1,1,7.00,7,4563.46,4563.46,0,634,138
1,1,13.00,13,2027.26,2027.26,0,565,138
1,1,14.00,14,2627.21,2627.21,0,449,138
1,1,8.00,8,5267.43,5267.43,0,360,138
1,1,9.00,9,5352.63,5352.63,0,359,138
1,1,9.00,9,4121.89,4121.89,0,356,138
1,1,7.00,7,5193.51,5193.51,0,350,138
1,1,12.00,12,4184.73,4184.73,0,138,3
1,1,16.00,16,9888.30,9888.30,0,1249,998
1,1,6.00,6,4059.60,4059.60,0,1249,936
1,1,5.00,5,3848.91,3848.91,0,1249,930
1,1,14.00,14,7041.28,7041.28,0,1249,768
1,1,12.00,12,6946.74,6946.74,0,1249,748
1,1,13.00,13,6981.20,6981.20,0,1249,740
1,1,15.00,15,7082.10,7082.10,0,1249,738
1,1,13.00,13,9418.29,9418.29,0,1249,643
1,1,5.00,5,2444.16,2468.29,0,1249,634
1,1,19.00,19,8303.54,8732.12,0,1249,565
1,1,20.00,20,8903.49,9332.07,0,1249,449
1,1,10.00,10,7374.40,7374.40,0,1249,360
1,1,11.00,11,7459.60,7459.60,0,1249,359
1,1,12.00,12,8337.12,8337.12,0,1249,356
1,1,9.00,9,7300.48,7300.48,0,1249,350
1,1,16.00,16,9675.23,9675.23,0,1249,3
1,1,17.00,17,10254.52,10254.52,0,1248,998
1,1,5.00,5,3693.38,3693.38,0,1248,936
1,1,4.00,4,3482.69,3482.69,0,1248,930
1,1,15.00,15,7407.50,7407.50,0,1248,768
1,1,13.00,13,7312.96,7312.96,0,1248,748
1,1,14.00,14,7347.42,7347.42,0,1248,740
1,1,16.00,16,7448.31,7448.31,0,1248,738
1,1,14.00,14,9784.51,9784.51,0,1248,643
1,1,6.00,6,2810.37,2834.50,0,1248,634
1,1,20.00,20,8669.76,9098.34,0,1248,565
1,1,21.00,21,9269.71,9698.29,0,1248,449
1,1,11.00,11,7740.62,7740.62,0,1248,360
1,1,12.00,12,7825.82,7825.82,0,1248,359
1,1,13.00,13,8703.33,8703.33,0,1248,356
1,1,10.00,10,7666.70,7666.70,0,1248,350
1,1,17.00,17,10041.45,10041.45,0,1248,3
1,1,15.00,15,9228.42,9228.42,0,1247,998
1,1,5.00,5,3950.16,3950.16,0,1247,936
1,1,4.00,4,3739.47,3739.47,0,1247,930
1,1,13.00,13,6381.40,6381.40,0,1247,768
1,1,11.00,11,6286.86,6286.86,0,1247,748
1,1,12.00,12,6321.32,6321.32,0,1247,740
